Mein Tag Folge 5

1. Lernwortschatz

Verben

iść                             - gehen
jeść                            - essen
pić                             - trinken
grać                            - spielen
robić                           - machen
pytać                           - fragen
kończyć                         - enden
słuchać                         - hören
spać                            - schlafen
gotować                         - kochen
otwierać                        - öffnen 
odbierać                        - abholen
czatować                        - chatten
pracować                        - arbeiten
przynosić                       - bringen
zamykać                         - schließen
odpowiadać                      - antworten
jeść śniadanie                  - frühstücken
spacerować                      - spazieren gehen
mieć ochotę                     - vorlieben
dzwonić                         - anrufen (r.zł.)
zaczynać                        - anfangen (r.zł)
wstawać                         - aufstehen (r. zł.)
sprzątać                        - aufräumen (r. zł.)
oglądać TV                      - fernsehen (r.zł)
robić zakupy                    - einkaufen (r. zł.)

Nomen

m = maskulin = der/ein
dzień                           - der Tag, -e
sport                           - der Sport (Sg.)
termin                          - der Termin, -e
przyjaciel                      - der Freund, -e
piłka nożna                     - der Fußball (Sg.)
supermarket                     - der Supermarkt, ¨e
przedszkole                     - der Kindergarten, -¨ -> die Kindergärten
południe (pora dnia)            - der Mittag, -e
intensywny kurs                 - der Intensivkurs, -e
cmentarz                        - der Friedhof, ¨e

n = neutral = das/ein
kino                            - das Kino, -s
kwadrans                        - das Viertel, -
przykład                        - das Beispiel, -e
weekend                         - das Wochenende, -n
zakład, sklep                   - das Geschäft, -e
krzyżówka/zagadka               - das Rätsel, -

f = feminin = die/eine
mama                            - die Mama, -s
noc                             - die Nacht, -¨e -> die Nächte
czas                            - die Zeit (Sg.)
godzina                         - die Uhr, -en
impreza                         - die Party, -s
tydzień                         - die Woche, -n
pizza                           - die Pizza, -s
praktyka                        - die Praxis, -en
biblioteka                      - die Bibliothek, -en
przyjaciółka                    - die Freundin, -nen
prezentacja                     - die Präsentation, -en
zadanie domowe                  - die Hausaufgabe, -n
centrum opieki dziecięcej       - die Kita (Kindertagestätte), -s
umówione spotkanie              - die Verabredung
czekolada                       - die Schokolade, -n

poniedziałek                    - der Montag, -e -> die Montage
wtorek                          - der Dienstag, -e
środa                           - der Mittwoch, -e
czwartek                        - der Donnerstag, -e
piątek                          - der Freitag, -e
sobota                          - der Samstag, -e
niedziela                       - der Sonntag, -e

już (godzina)                   - schon
dopiero (godzina)               - erst

po (po godzinie)                - nach 
przed (przed godziną)           - vor
połowa (w pół)                  - halb
krótko (krótko po)              - kurz
równo (dokładnie taka)          - gleich

późno (godzina)                 - spät
wcześnie (godzina)              - früh

długo                           - lange
chętnie                         - gern
zmęczony                        - müde

od...do...                      - von...bis...

totalnie                        - total
ponownie (w dalszym ciągu)      - wieder
następny                        - nächst-

rano                            - der Morger, -
wieczór                         - der Abend, -e
przed południe                  - der Vormittag, -e
popołudnie                      - der Nachmittag, -e

otwarte                         - geöffnet
zamknięte                       - geschloßen

każdy                           - jed-
więcej                          - mehr

na przykład                     - zum Beispiel (z.B.)

naprawdę/rzeczywiście           - wirklich
w końcu                         - entlich

ustawowy/prawny                 - gezetslich
