Freizeit Folge 6

1. Lernwortschatz

Verben

lesen                       czytać
regnen                      padać (deszcz)
nehmen                      brać
tanzen                      tańczyć
fahren                      jechać
meinen                      mieć na myśli
wandern                     wędrować
steigen                     rosnąć (temp.)
bleiben                     zostać
treffen                     spotykać
grillen                     grilować
sammeln                     kolekcjonować/zbierać
scheinen                    świecić/lśnić/błyszczeć
schneien                    pruszyć (śniegiem)
vergessen                   zapomnieć
schwimmen                   pływać
telefonieren                dzwonić
fotografieren               robić zdjęcia
stricken                    robić na drutach


Nomen

m = maskulin = der/ein
der Spaß (Sg.)              przyjemność (m)
der Durst (Sg.)             pragnienie (m)
der Regen (Sg.)             deszcz
der Schnee (Sg.)            śnieg

der Sommer, -               lato (m)
der Winter, -               zima (m)
der Schinken, -             szynka (m)
der Hamburger, -            hamburger

der Wind, -e                wiatr
der Hund, -e                pies
der Film, -e                film
der Salat, -e               sałaka (m)
der Beruf, -e               zawód
der Herbst, -e              jesień (m)
der Würfel, -e              kostka do gry (m)
der Frühling, -e            wiosna (m)
der Wetterbericht, -e       raport pogody

der Grill, -s               grill
der Krimi, -s               thriller kryminalny
der/das Ketchup, -s         ketchup

der Ausflug, ¨e             wylot (m)

n = neutral = das/ein
das Eis (Sg.)               lód (n)
das Grad (Sg.)              stopień (n)
das Wetter (Sg.)            pogoda (n)
das Internet (Sg.)          internet (n)

das Spiel, -e               zabawa (n)
das Problem, -e             problem (n)
das Getränk, -e             napój (n)

das Auto, -s                samochód (n)
das Foto, -s                zdjęcie (n)
das Radio, -s               radio (n)
das Hobby, -s               hobby (n)
das Picknick, -s            piknik (n)
das Smartphone, -s          smartfon (n)

das Fahrrad, ¨er            rower (n)

f = feminin = die/eine
die Sonne (Sg.)             słońce (f)
die Mitte (Sg.)             środek (f)
die Freizeit (Sg.)          czas wolny (f)

die Wolke, -n               chmura
die Speise, -n              żywność (f)
die Gitarre, -n             gitara
die Speisekarte, -n         menu (f)

die Portion, -en            porcja
die Temperatur, -en         temperatura

die Cola, -s                cola

Pl. = Plural = die
die Pommes frites (Pommes)  frytki (Pl.)

viel-                       dużo/wiele

los (losgehen)              ?

kalt                        zimno
warm                        warm
sonnig                      słonecznie
windig                      wietrznie
bewölkt                     pochmurnie

leicht                      łatwo
überall                     wszędzie

plus                        dodatni
minus                       ujemny

heiß                        gorący
schlecht                    zły
angenehm                    przyjemny
doch                        zaprzeczenie?
lieber                      droga/drogi
warum                       dlaczego
Lieblings-                  ulubion-
wichtig                     waźny
besonder-/besonders         specjaln-
dumm                        głupi
oft                         często
leider                      niestety
immer                       zawsze
vielleicht                  być może
einfach                     łatwo
schnell                     szybko
