1. Verb

malen                           malować
können                          potrafić
singen                          śpiewać
reiten                          ujeżdżać
wecken                          obudzić się
wollen                          chcieć
tanzen                          tańczyć
backen                          piec
wandern                         wędrować
grillen                         grillować
schmecken                       smakować
schreiben                       pisać
losfahren                       wyjść/wyjechać
mitkommen                       przyjść z
schwimmen                       pływać
zurückkommen                    wracać

2. Nomen

maskulin

der Ski, -er                    narta
der Test, -s                    test
der Text, -e                    tekst
der Arzt, ¨e                    lekarz
der Brief, -e                   list
der Junge, -n                   młody
der Kilometer, -                kilometr
der Eintritt (Sg.)              wstęp
der Unterricht (Sg.)            nauczanie

feminin

die Übung, -en                  ćwiczenie
die Klasse, -n                  klasa
die Schule, -en                 szkoła
die Ärztin, -nen                lekarka
die Grundschule, -n             szkoła podstawowa
die Kommunikation (Sg.)         komunikacja
die Mathematik (mathe) Sg.      matematyka

neutral
das Team, -s                    drużyna
das Lied, -er                   piosenka/przyśpiewka
das Buch, ¨er                   książka
das Mädchen, -                  dziewczynka
das Diktat, -e                  dyktando
das Klavier, -e                 pianino
das Frühstück, -e               śniadanie
das Schwimmbad, ¨er             basen
das Tennis (spielen) Sg.        tenis (grać)


üben                                na górze
lieb-                               ulub-
prima                               super
krank                               chory
schade                              przykro
endlich                             w końcu
leidtun                             przeprasz-
los sein                            -
nach Hause                          do domu
Ski fahren                          jeździć na nartach
fertig (sein)                       gotowy (być)
Fahrrad fahren                      jeździć na rowerze
Tennis spielen                      grać w tenisa
Freunde treffen                     spotkać przyjaciela
Gitarre spielen                     grać na gitarze
pünktlich auf keinen/jeden Fall     punktualny w każdym wypadku
